SurveyResponseID,AnswerNumber,TripID,SpendType,ImputedSpendAmt,NonImputedSpendAmt,IndivOrTotalCosts,NoPeople,NoChildren,TripYear,TripQtr,TripType,POV,NoNightsOnTrip,ImputedSpendAccom,ImputedSpendTrnsport,SmoothedTripWeight,ExpenditureWeight,RespondentWeight
2789270,31,17019601,Alcohol,2.62019230769231,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,9.70751535974093,10220.989556472,10220.989556472,196.018977795353
2787857,31,16878301,Alcohol,1.72631578947368,0,Individual,1,0,2010,3,Day Trip,Sightseeing,NA,NA,124.633606024444,6492.2961019026,6492.2961019026,124.509788255666
2787354,33,16828001,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,19.551564117393,10214.3507445192,10214.3507445192,195.891658114066
2787428,33,16835401,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,21.9279140138178,14910.2985011444,14910.2985011444,285.950930158933
2787457,33,16838301,Alcohol,3.11734693877551,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,26.8292992486623,3575.90479494042,3575.90479494042,68.5789960673505
2787547,33,16847301,Alcohol,1.72631578947368,0,Individual,1,0,2010,3,Day Trip,Holiday,NA,NA,28.0745830585825,2942.35535531364,2942.35535531364,56.4287328416315
2787801,33,16872701,Alcohol,2.62019230769231,0,Individual,1,0,2010,3,Day Trip,Hospital/Medical Treatment,NA,NA,15.5144450505623,5233.30645447237,5233.30645447237,100.364781318648
2788447,33,16937301,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Holiday,NA,NA,24.0537178601514,5551.53446086967,5551.53446086967,106.467784181062
2788469,33,16939501,Alcohol,1.70666666666667,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,21.8154303812046,11945.5542598859,11945.5542598859,229.092821422469
2788640,33,16956601,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,30.0131414368653,6730.49410056256,6730.49410056256,129.077969051885
2788701,33,16962701,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,8.35900439088775,25995.8114889766,25995.8114889766,498.549809377634
2788807,33,16973301,Alcohol,3.98490813648294,0,Individual,1,0,2010,3,Day Trip,Sightseeing,NA,NA,19.7024273218109,21088.738549123,21088.738549123,404.441561216057
2788810,33,16973601,Alcohol,3.8801652892562,40,Total,3,0,2010,3,Day Trip,Business   ,NA,NA,13.9057906347352,3262.98497211829,3262.98497211829,62.5777939858301
